"Devicename";"Deviceaddress";"Devicetype"
"seint1067";"138.103.186.134";"Microsoft_OS_Windows"
"seint1068";"138.103.186.135";"Microsoft_OS_Windows"
"seint1162";"138.103.89.84";"Microsoft_OS_Windows"
"seint1163";"138.103.89.86";"Microsoft_OS_Windows"
"seint1176";"164.4.87.238";"Microsoft_OS_Windows"
"seint1182";"138.103.86.201";"Microsoft_OS_Windows"
"seint1183";"138.103.86.209";"Microsoft_OS_Windows"
"seint1215";"164.4.33.205";"Microsoft_OS_Windows"
"seint1219";"164.4.32.132";"Microsoft_OS_Windows"
"seint1220";"164.4.32.133";"Microsoft_OS_Windows"
"seint1221";"164.4.32.134";"Microsoft_OS_Windows"
"seint1230";"164.4.32.154";"Microsoft_OS_Windows"
"seint1233";"164.4.32.157";"Microsoft_OS_Windows"
"seint1234";"164.4.32.158";"Microsoft_OS_Windows"
"seint1237";"164.4.32.161";"Microsoft_OS_Windows"
"seint1239";"164.4.32.163";"Microsoft_OS_Windows"
"seint1503";"164.4.184.100";"Microsoft_OS_Windows"
"seint1505";"164.4.185.97";"Microsoft_OS_Windows"
"seint1506";"164.4.185.60";"Microsoft_OS_Windows"
"seint1508";"138.103.186.58";"Microsoft_OS_Windows"
"seint1547";"138.103.144.43";"Microsoft_OS_Windows"
"seint1565";"138.103.89.36";"Microsoft_OS_Windows"
"seint1571";"164.4.62.22";"Microsoft_OS_Windows"
"seint1573";"138.103.186.79";"Microsoft_OS_Windows"
"seint1574";"138.103.186.45";"Microsoft_OS_Windows"
"seint1732";"164.4.87.33";"Microsoft_OS_Windows"
"seint1743";"10.38.162.10";"Microsoft_OS_Windows"
"seint1749";"164.4.172.46";"Microsoft_OS_Windows"
"seint1750";"164.4.87.147";"Microsoft_OS_Windows"
"seint1819";"138.103.90.196";"Microsoft_OS_Windows"
"seint1821";"138.103.90.234";"Microsoft_OS_Windows"
"seint1849";"138.103.86.56";"Microsoft_OS_Windows"
"seint1850";"138.103.86.87";"Microsoft_OS_Windows"
"seint1851";"138.103.86.111";"Microsoft_OS_Windows"
"seint1852";"138.103.86.170";"Microsoft_OS_Windows"
"seint1856";"164.4.32.131";"Microsoft_OS_Windows"
"seint1858";"138.103.89.88";"Microsoft_OS_Windows"
"seint1859";"138.103.89.104";"Microsoft_OS_Windows"
"seint1860";"164.4.87.44";"Microsoft_OS_Windows"
"seint1861";"164.4.87.76";"Microsoft_OS_Windows"
"seint1896";"138.103.89.58";"Microsoft_OS_Windows"
"seint1898";"164.4.33.183";"Microsoft_OS_Windows"
"seint1899";"164.4.87.86";"Microsoft_OS_Windows"
"seint1958";"138.103.186.150";"Microsoft_OS_Windows"
"seint1960";"164.4.185.217";"Microsoft_OS_Windows"
"seint1963";"164.4.87.53";"Microsoft_OS_Windows"
"seint1964";"164.4.87.227";"Microsoft_OS_Windows"
"seint1965";"164.4.61.26";"Microsoft_OS_Windows"
"seint1966";"138.103.90.250";"Microsoft_OS_Windows"
"seint1967";"138.103.90.251";"Microsoft_OS_Windows"
"seint1968";"138.103.144.83";"Microsoft_OS_Windows"
"seint1969";"138.103.186.105";"Microsoft_OS_Windows"
"seint1970";"138.103.186.106";"Microsoft_OS_Windows"
"seint1974";"138.103.86.15";"Microsoft_OS_Windows"
"seint1975";"138.103.86.25";"Microsoft_OS_Windows"
"seint1976";"138.103.86.42";"Microsoft_OS_Windows"
"seint1978";"138.103.89.237";"Microsoft_OS_Windows"
"seint1979";"164.4.86.22";"Microsoft_OS_Windows"
"seint1980";"164.4.86.26";"Microsoft_OS_Windows"
"seint1984";"164.4.86.29";"Microsoft_OS_Windows"
"seint1985";"164.4.86.30";"Microsoft_OS_Windows"
"seint1986";"138.103.86.66";"Microsoft_OS_Windows"
"seint1988";"138.103.144.44";"Microsoft_OS_Windows"
"seint1991";"164.4.86.164";"Microsoft_OS_Windows"
"seint1995";"164.4.86.157";"Microsoft_OS_Windows"
"seint1996";"164.4.86.165";"Microsoft_OS_Windows"
"seint1999";"164.4.86.189";"Microsoft_OS_Windows"
"seint2000";"164.4.86.206";"Microsoft_OS_Windows"
"seint2005";"164.4.184.188";"Microsoft_OS_Windows"
"seint2018";"164.4.41.176";"Microsoft_OS_Windows"
"seint2023";"164.4.173.148";"Microsoft_OS_Windows"
"seint2026";"138.103.89.181";"Microsoft_OS_Windows"
"seint2027";"164.4.86.247";"Microsoft_OS_Windows"
"seint2028";"164.4.87.254";"Microsoft_OS_Windows"
"seint2031";"138.103.86.188";"Microsoft_OS_Windows"
"seint2039";"164.4.41.74";"Microsoft_OS_Windows"
"seint2040";"164.4.41.131";"Microsoft_OS_Windows"
"seint2049";"164.4.87.80";"Microsoft_OS_Windows"
